ID	GRADRAT	CSAT	MATRICULADOS	PUBLICO	STUAULA	GASTO	ACT
1107	33	NA	6.21260609575152	1	17	NA	NA
1108	39	NA	7.66528471847135	1	14.8	NA	NA
1117	NA	902	6.22257626807137	0	12.8	3.7	21
1122	36	940	6.12905021006055	0	16.6	4.546	22
1125	43	836	5.05624580534831	0	13	3.894	19
1131	83	1410	5.34710753071747	0	6.5	NA	NA
1133	60	931	5.50938833662798	0	12.4	NA	21
1137	56	871	7.29301767977278	1	19.9	NA	21
1138	47	NA	7.02642680869964	1	20.5	NA	NA
1139	48	838	7.85399308722424	1	20.3	NA	21
1140	49	NA	7.14519613499717	1	20.4	NA	NA
1141	24	NA	6.0591231955818	1	18.1	NA	NA
1142	49	839	7.32712329225929	1	20.3	NA	NA
1143	59	1002	7.40853056689463	1	19.8	4.877	21
1144	50	NA	7.35627987655075	1	18.5	4.862	NA
1146	63	899	7.15305163493748	1	18.9	5.05	21
1147	61	NA	7.30182234213793	1	21.2	NA	NA
1149	65	956	6.33682573114644	1	16.4	NA	22
1150	47	884	7.11801620446533	1	19.2	NA	NA
1151	41	851	7.67368812926773	1	19.5	NA	20
1153	43	809	7.67647364638916	1	20.3	NA	19
1154	55	816	7.13807303404435	1	17.4	NA	19
1155	46	838	7.25841215059531	1	17.4	4.224	19
1156	40	968	6.32256523992728	1	16.1	5.189	22
1157	NA	849	6.13339804299665	1	15.3	NA	19
1158	23	895	3.93182563272433	0	15.7	NA	19
1164	47	957	5.86078622346587	0	12.8	NA	22
1170	87	1270	5.4249500174814	0	9.6	6.01	28
1171	100	1370	5.18178355029209	0	8.2	6.69	NA
1172	73	1150	5.39362754635236	0	10.4	5.9	26
1173	91	1340	5.96614673912369	0	8.9	NA	31
1174	73	1150	4.93447393313069	0	8.2	7.35	26
1179	43	NA	4.57471097850338	0	10.4	NA	NA
1183	44	898	3.76120011569356	0	7.8	NA	NA
1196	50	884	4.31748811353631	0	11.6	NA	NA
1215	49	888	5.78382518232974	0	12.6	3.855	20
1216	47	903	5.42053499927229	0	14.1	NA	22
1236	NA	829	4.74493212836325	0	15.4	NA	19
1238	64	1050	4.88280192258637	0	10.3	NA	25
1243	72	972	4.72738781871234	0	11.9	NA	21
1249	79	1080	5.91350300563827	0	10.5	5.14	NA
1252	67	900	4.48863636973214	0	10.7	NA	22
1253	54	1008	4.98360662170834	0	10.5	3.67	22
1258	69	NA	5.95324333428778	0	12.3	3.825	22
1262	54	897	6.0591231955818	0	16.1	NA	21
1264	66	1099	6.52209279817015	0	11.6	6.77	25
1293	43	909	5.26269018890489	0	18.6	4.124	21
1302	78	1032	6.14203740558736	0	16.1	6.354	NA
1305	96	1401	7.38770923908104	0	9.7	NA	31
1312	78	1218	8.07558263667172	1	15.8	NA	NA
1313	76	1070	8.04686951095958	1	14.5	NA	24
1314	66	1029	7.81520706218909	1	16.1	NA	NA
1315	77	1141	8.18618599422608	1	11.8	NA	NA
1316	62	982	7.29301767977278	1	13.4	NA	23
1317	66	1131	7.8164169836918	1	13.9	NA	26
1320	69	1006	8.08301991917133	1	18.9	NA	NA
1321	59	1059	7.44833386089748	1	21.3	NA	NA
1322	73	NA	5.72358510195238	0	8.9	6.205	NA
1325	62	977	6.28785856016178	0	13.6	6.452	21
1326	100	NA	6.78897174299217	0	13.9	NA	NA
1328	68	1090	7.81480342948936	0	11.4	6.482	25
1329	65	975	6.36647044773144	0	11.2	NA	NA
1339	51	833	4.77068462446567	0	16.8	NA	NA
1341	87	1051	5.86078622346587	1	14.9	5.304	24
1342	52	961	5.8406416573734	0	13.6	NA	NA
1343	54	822	4.70953020131233	0	13.5	NA	20
1345	60	NA	6.34388043412633	1	27.9	3.73	21
1347	84	NA	6.19440539110467	0	11.3	4.19	NA
1349	40	920	7.43661726523423	1	21.5	NA	22
1350	59	1024	7.69348164083518	1	19.2	NA	25
1353	46	NA	7.02375895473844	1	19.1	3.32	NA
1358	59	851	6.79234442747081	1	28.8	3.798	20
1360	25	855	7.41577697541539	1	21.1	NA	20
1363	53	929	5.73009978297357	0	14.8	5.48	22
1365	36	908	6.40522845803084	1	19.4	4.38	20
1369	88	NA	7.05617528410041	1	8.2	NA	NA
1370	66	NA	8.14206328310415	1	19.9	NA	NA
1371	67	1010	6.36302810354047	0	15.9	NA	24
1372	52	890	6.40357419793482	1	19.4	3.755	21
1374	63	890	4.63472898822964	0	11.5	NA	23
1378	49	871	6.80461452006262	1	16.7	4.444	NA
1379	91	NA	6.08221891037645	0	10.7	6.3	NA
1380	NA	NA	6.26909628370626	1	15.5	3.936	NA
1385	94	1058	6.66057514983969	0	15.1	NA	25
1397	79	929	5.8171111599632	0	15.6	5.02	NA
1401	NA	NA	4.52178857704904	0	12.2	NA	NA
1402	86	NA	6.69208374250663	0	12	NA	NA
1403	82	900	6.23244801655052	0	14.8	5.78	NA
1406	45	830	6.95081476844258	1	15.8	4.796	NA
1409	76	NA	4.56434819146784	0	11.2	4.6	NA
1414	91	NA	6.16961073249146	0	10.4	5.69	NA
1415	71	1186	5.62401750618734	1	8.3	NA	NA
1416	51	911	5.03043792139244	0	7.9	6.81	NA
1422	66	963	7.08506429395255	0	10.7	6	NA
1424	92	1280	6.56807791141198	0	12.1	5.6	29
1425	50	855	6.33505425149806	1	16.9	4.316	NA
1426	99	NA	7.18311170174328	0	5.8	6.51	NA
1428	26	NA	6.63856778916652	1	13.7	3.81	NA
1429	36	911	5.64897423816121	0	27.6	NA	NA
1431	75	1035	8.0870254706677	0	18.3	4.23	NA
1433	84	800	5.85793315448346	0	14.4	4.674	NA
1434	69	1133	6.95463886488099	0	13.6	6.4	NA
1436	52	880	3.55534806148941	0	12.1	NA	NA
1437	75	NA	6.22455842927536	0	9.3	6.408	NA
1443	NA	NA	5.97126183979046	0	6.6	5.4	NA
1444	72	NA	7.30787278076371	0	7.6	6.328	NA
1445	95	NA	7.23705902612474	0	7.2	7.131	NA
1448	46	883	7.41818082272679	0	7.5	3.75	20
1452	NA	842	4.11087386417331	0	5.7	6.915	20
1460	96	950	4.60517018598809	0	8.3	6.43	22
1466	72	900	5.63121178182137	0	12.6	NA	20
1467	58	775	6.29526600143965	0	13.8	3.396	16
1468	33	830	5.46383180502561	0	23.2	NA	19
1469	57	1096	6.25958146406492	0	10.6	4.14	NA
1473	NA	875	4.61512051684126	0	15.1	NA	22
1479	44	994	6.86484777797086	0	16.5	3.75	25
1480	NA	NA	7.28824440102012	1	11.8	2.668	NA
1481	48	990	6.71659477352098	1	15.6	4.06	22
1486	35	NA	6.32256523992728	0	17.1	3.19	NA
1487	59	1076	5.90263333340137	0	12.8	NA	25
1488	68	912	5.92425579741453	0	17.4	4.865	23
1489	58	NA	8.01400499477946	1	23.1	4.06	NA
1495	NA	NA	5.72031177660741	0	12.1	4.38	NA
1505	65	890	5.75257263882563	0	19	5.6	21
1509	23	905	5.54907608489522	0	20.4	4.74	NA
1515	90	1059	5.94542060860658	0	13.3	5.22	25
1526	NA	853	5.30330490805908	0	72.4	4.65	21
1531	73	NA	6.19236248947487	0	12.5	4.565	NA
1535	66	NA	8.19505769089508	1	13.4	4.18	NA
1536	59	NA	7.40427911803727	0	5.9	6.526	NA
1537	47	1045	7.53689712956617	1	17	3.776	23
1538	NA	NA	5.78382518232974	0	13.9	4.564	NA
1540	90	807	4.36944785246702	0	15.1	2.9	20
1542	59	NA	4.91998092582813	0	7.7	NA	NA
1544	62	NA	6.36302810354047	1	17	NA	NA
1546	88	907	7.14124512235049	1	10.5	NA	NA
1551	53	804	6.67203294546107	0	14.9	4.238	19
1552	38	837	6.76849321164863	1	18.9	NA	NA
1554	63	NA	6.17378610390194	0	16.3	3.94	NA
1556	49	930	5.06259503302697	0	13.7	NA	NA
1557	18	766	7.09174211509515	0	12.6	2.37	NA
1561	32	890	6.65157187358973	1	16.5	NA	NA
1564	96	1220	7.11963563801764	0	5	6	28
1566	39	NA	6.47543271670409	1	13.9	2.37	NA
1569	70	NA	7.73017479524622	1	19.3	NA	NA
1570	36	940	5.6937321388027	1	17.3	3.219	22
1572	46	844	8.01763715990848	1	19.7	NA	NA
1573	26	850	5.79909265446053	1	18.1	2.415	20
1574	34	NA	7.12125245324454	1	19	NA	NA
1577	21	909	7.05703698169789	1	19.8	NA	NA
1578	75	780	5.17614973257383	0	12.5	NA	NA
1580	91	1002	6.33505425149806	0	9.2	4.081	24
1582	83	1026	6.58202513889283	0	17.8	5.49	24
1583	21	850	6.38856140554563	0	15.7	NA	19
1585	53	NA	6.65286302935335	1	17.5	NA	NA
1586	67	1119	5.2257466737132	0	13.1	NA	27
1587	27	NA	5.41610040220442	0	10.9	2.814	NA
1588	31	951	4.84418708645859	0	13.2	3.35	NA
1590	48	709	6.5875500148248	1	19	NA	17
1591	58	NA	5.10594547390058	0	13.2	NA	NA
1594	65	1002	6.09356977004514	0	12.5	5.565	23
1596	54	878	5.2040066870768	0	16.8	NA	21
1598	63	1086	8.10772006191053	1	14.7	3.6	NA
1599	45	841	7.36897040219479	1	20	2.94	21
1600	52	1013	4.69134788222914	0	7.6	NA	23
1601	40	868	7.19368581839511	1	19.2	2.973	NA
1602	52	811	6.7202201551353	1	21.4	2.739	19
1605	NA	850	4.63472898822964	0	14.1	5.49	19
1606	NA	NA	6.0591231955818	0	16.8	NA	20
1610	54	978	7.39449310721904	1	11.8	3.038	NA
1616	25	899	7.54327334670545	1	17	NA	21
1617	55	1011	5.06259503302697	0	9.4	3.235	24
1620	33	NA	7.03614849375054	1	16.5	NA	21
1621	44	842	6.0591231955818	1	12.1	NA	21
1624	58	NA	5.95324333428778	0	14.8	2.82	23
1626	45	980	7.19818357710194	1	13.5	NA	23
1633	71	NA	6.20859002609663	0	12.7	3.244	25
1634	56	NA	4.84418708645859	0	9.1	NA	21
1635	71	NA	4.70953020131233	0	9.7	NA	NA
1639	51	NA	5.04985600724954	0	14.3	NA	21
1641	85	1120	6.96696713861398	0	14.4	NA	25
1664	80	NA	5.07517381523383	0	17.5	NA	NA
1665	41	NA	7.0184017990692	0	13.4	NA	NA
1666	75	NA	5.2257466737132	0	12.1	NA	23
1671	63	1065	7.11232744471091	0	16.1	4.932	25
1674	76	NA	7.35564110297425	1	16.2	NA	22
1678	53	NA	4.72738781871234	0	10.6	3.45	22
1684	60	NA	5.26785815906333	0	14.3	NA	22
1688	52	1015	5.5683445037611	0	15.6	NA	23
1691	56	1102	6.16961073249146	0	12.3	NA	25
1692	54	NA	7.78655180642871	1	21	NA	22
1693	21	NA	6.44730586254121	1	15.1	NA	17
1694	18	NA	6.65544035036765	1	15.6	NA	18
1696	83	1151	6.15485809401642	0	12.9	4.09	28
1700	56	NA	4.91998092582813	0	10.6	NA	22
1703	80	870	4.79579054559674	0	15.9	NA	18
1704	79	1100	5.65599181081985	0	12.7	4.062	25
1706	77	NA	5.6021188208797	0	10.7	3.97	NA
1707	61	NA	5.97888576490112	0	14.3	4.52	20
1710	65	1011	6.76619171466035	0	6.2	NA	24
1717	59	NA	5.17614973257383	0	10.8	3.75	21
1722	52	NA	4.77912349311153	0	17.7	3.74	21
1724	75	1052	6.12249280951439	0	11.4	NA	24
1725	56	940	5.31811999384422	0	11.6	4.1	23
1733	71	NA	5.63121178182137	0	18.3	NA	17
1734	76	1039	5.73009978297357	0	16.4	NA	25
1735	74	992	5.17048399503815	0	13.1	4.345	22
1737	56	NA	7.78197323443438	1	17.3	NA	22
1739	92	1270	7.55066124310534	0	6.8	NA	29
1741	54	NA	5.96100533962327	0	14.6	NA	NA
1744	90	1044	4.85981240436167	0	9.6	5.344	NA
1745	80	1024	5.6937321388027	0	16.3	4.14	23
1748	NA	NA	5.27811465923052	0	12.3	NA	21
1749	77	NA	5.38449506278909	0	12.2	NA	19
1750	81	NA	4.94875989037817	0	12.9	NA	NA
1758	44	NA	7.67693714581808	1	14.9	3.256	22
1759	43	NA	6.90173720665657	1	16.5	3.598	21
1767	75	NA	5.59471137960184	0	11.6	NA	23
1768	55	NA	5.68697535633982	0	13.7	4.624	20
1772	28	NA	5.75890177387728	0	21.9	4.11	NA
1774	90	NA	6.82654522355659	0	5.3	6.38	NA
1775	81	1139	8.64909826229618	1	17.4	4.574	27
1776	34	NA	7.90470391387375	1	10	5.088	21
1780	55	NA	7.35436233042148	1	17.2	3.193	22
1781	85	NA	6.30627528694802	0	12.7	4.2	NA
1785	59	885	6.04737217904628	0	12.1	3.52	21
1786	51	895	8.25556865328375	1	17.7	NA	21
1787	NA	943	5.58724865840025	0	14.6	3	22
1788	83	1028	6.5510803350434	0	10.9	4.65	25
1792	82	NA	6.20455776256869	0	11.1	5.02	NA
1793	78	1120	5.61312810638807	0	10.6	4.056	25
1795	77	1036	6.5424719605068	0	15.8	4.34	NA
1798	60	1013	5.63835466933375	0	12.5	4.04	22
1799	72	1006	5.39816270151775	0	9.9	3.73	NA
1800	64	NA	5.11799381241676	0	15.3	3.818	21
1801	64	1040	5.75890177387728	0	10.6	3.485	24
1803	47	902	4.8283137373023	0	11.8	NA	21
1804	69	919	5.96100533962327	0	11.1	NA	21
1805	NA	937	5.11799381241676	0	15.4	NA	22
1808	38	813	7.16394668434255	1	22	3.192	18
1809	68	996	8.67812085552252	1	21.3	NA	24
1811	24	NA	6.42324696353352	1	13.8	NA	NA
1812	41	NA	7.44658509915773	1	16	NA	NA
1813	25	816	7.74109909003537	1	10.4	NA	19
1814	23	802	6.58340922215876	1	14.7	NA	NA
1815	33	NA	6.81014245011514	1	18.2	NA	NA
1816	33	NA	6.88755257166462	1	14.4	NA	NA
1817	33	NA	6.81454289725996	1	16.7	NA	NA
1820	64	950	5.47646355193151	0	11.8	3.85	22
1821	61	867	5.47227067367148	0	10.4	NA	NA
1822	34	863	5.90263333340137	0	39.8	3.782	21
1824	62	NA	5.61677109766657	0	11.5	2.984	NA
1825	67	998	8.67829111175856	1	18.2	NA	24
1827	NA	890	NA	1	NA	NA	22
1830	97	1210	5.9427993751267	0	13.6	4.206	30
1832	48	860	4.44265125649032	0	12.5	NA	21
1833	67	917	5.41610040220442	0	14.8	NA	22
1834	NA	NA	5.17048399503815	0	10.6	NA	NA
1835	75	814	4.47733681447821	0	10.2	4.13	20
1836	98	1026	5.97380961186926	0	9.9	4.514	25
1837	NA	NA	3.58351893845611	0	4.9	NA	NA
1838	98	1092	6.07993319509559	0	14.2	4	25
1839	65	911	5.62040086571715	0	12.8	NA	21
1840	97	1220	7.55276208421415	0	13.1	NA	NA
1842	95	NA	6.25382881157547	0	14.2	3.26	NA
1844	72	NA	5.54517744447956	0	9.9	4.195	NA
1846	58	795	5.04342511691925	0	13.1	NA	22
1847	78	1019	5.65248918026865	0	8.8	3.797	24
1850	67	NA	5.99396142730657	0	13.5	3.66	24
1852	74	NA	5.11799381241676	0	11	3.676	21
1854	67	1060	5.61677109766657	0	12.7	4.39	25
1856	64	1070	5.94803498918065	0	12.2	4.323	25
1859	87	NA	5.79301360838414	0	12.5	2.65	23
1860	77	1030	6.73221070646721	0	15	4.57	25
1866	47	949	5.48893772615669	0	23.6	3.1	22
1867	32	NA	5.4510384535657	0	12.6	3.36	20
1868	83	1244	6.06842558824411	0	9.5	4.618	29
1869	65	NA	8.14351740579748	1	19.2	NA	NA
1871	NA	NA	4.84418708645859	0	17.2	3.4	21
1873	70	NA	6.26720054854136	0	14.2	NA	23
1874	77	1110	6.3750248198281	0	13.8	3.56	25
1876	69	NA	4.53259949315326	0	12.3	3.64	20
1879	56	NA	5.47646355193151	0	13	3.678	22
1880	64	NA	5.06890420222023	0	11.3	3.555	NA
1881	21	NA	4.55387689160054	0	13.6	3.65	21
1883	68	NA	5.90263333340137	0	14.9	3.075	22
1887	70	NA	5.7037824746562	0	15.8	4.98	NA
1889	70	NA	5.62040086571715	0	14.1	4.02	22
1890	77	NA	7.52456122628536	1	16.3	2.93	23
1891	45	910	4.91998092582813	0	16.5	3.62	22
1892	62	NA	8.09009578318096	1	13.1	NA	NA
1893	78	NA	5.25749537202778	0	17.4	NA	22
1896	67	1035	5.84354441703136	0	12.4	3.61	24
1899	51	NA	4.81218435537242	0	12	3.64	19
1900	40	NA	4.9416424226093	0	13.3	3.11	NA
1903	65	NA	5.32787616878958	0	11	4.1	23
1904	48	NA	5.29831736654804	0	11.6	3.363	23
1905	56	NA	4.80402104473326	0	8.8	3.58	22
1915	44	NA	6.69208374250663	1	18.1	NA	NA
1918	49	NA	5.14749447681345	0	25	NA	20
1926	58	NA	6.70073110954781	1	23.2	NA	21
1927	50	NA	6.74875954749168	1	19.3	3.144	20
1928	54	NA	7.94909149983052	1	18.5	NA	NA
1929	68	NA	4.99721227376411	0	12.4	3.25	21
1933	48	NA	4.53259949315326	0	9.8	3.75	22
1937	46	NA	5.46383180502561	0	14.5	3.245	NA
1940	52	NA	4.31748811353631	0	11.8	NA	21
1943	53	NA	4.18965474202643	0	8.2	NA	NA
1945	36	843	4.84418708645859	0	16.1	NA	22
1946	53	NA	4.69134788222914	0	10	3.41	22
1948	57	NA	8.21093973337902	1	13.7	NA	23
1949	53	NA	6.32793678372919	1	13.8	3.21	NA
1950	32	NA	6.79794041297493	1	20.4	NA	21
1951	31	NA	5.66642668811243	0	19.4	2.48	NA
1952	NA	989	5.63478960316925	0	12.1	2.764	23
1954	84	989	5.73009978297357	0	13.1	2.95	23
1955	57	979	6.12029741895095	0	13.2	2.835	22
1958	56	NA	4.59511985013459	0	10.1	NA	NA
1959	49	NA	5.6970934865054	0	17.7	3.07	NA
1960	89	NA	4.57471097850338	0	10.6	NA	20
1961	74	1109	5.66296048013595	0	11.4	4.27	27
1962	63	890	5.98645200528444	0	13	NA	21
1963	39	NA	7.80180040190897	1	19.8	3.196	19
1964	55	NA	5.65599181081985	0	13.3	3.95	22
1968	19	NA	6.04973345523196	1	15	2.682	NA
1969	62	860	5.16478597392351	0	11.3	4.15	22
1972	NA	NA	5.94542060860658	0	19.3	3.55	18
1976	52	NA	7.17011954344963	1	19.9	NA	20
1977	52	NA	7.08170858610557	1	20.2	3.11	22
1980	61	NA	5.12989871492307	0	13.4	NA	NA
1987	70	1096	5.4971682252932	0	12.1	4.45	26
1988	64	830	5.17614973257383	0	14.1	NA	20
1989	52	NA	7.89170465933011	1	12.2	NA	25
1999	31	NA	7.50823877467866	1	11.1	NA	21
2001	66	964	5.38449506278909	0	10.5	3.892	23
2002	45	NA	7.64108424917491	1	19.1	3.149	NA
2003	66	1060	5.34710753071747	0	11.3	3.49	25
2004	61	NA	6.47850964220857	0	14.1	NA	20
2005	36	NA	6.99576615630485	1	21.8	NA	19
2006	58	NA	7.54960916515453	1	24.6	1.306	NA
2007	59	NA	5.35658627467201	0	10.5	NA	NA
2008	45	NA	7.32974968904151	1	20	2.325	22
2010	37	997	8.0323601479245	1	15.9	2.98	23
2013	35	NA	6.21460809842219	1	18.1	NA	NA
2015	19	947	7.31388683163346	1	17.9	3.123	21
2016	53	1050	6.57786135772105	0	11.7	5.87	25
2017	34	NA	7.32974968904151	1	21.1	2.31	19
2020	21	NA	7.51752085060303	1	20.6	NA	20
2021	33	NA	7.1929342212158	1	29.5	2.216	20
2023	73	NA	5.14166355650266	0	16.1	NA	NA
2024	29	NA	7.7393592026891	1	24.3	2.23	19
2026	35	NA	6.19440539110467	1	19.6	NA	17
2029	74	NA	7.10906213568717	0	9.1	5.95	NA
2031	30	NA	7.88758403166028	1	22.7	NA	19
2032	49	890	6.54391184556479	0	14.4	NA	21
2033	35	821	5.45958551414416	1	15.2	3.63	NA
2036	93	1230	6.3578422665081	0	9.8	NA	NA
2038	96	1220	6.03548143252476	0	11.2	5.885	NA
2039	91	1170	6.12249280951439	0	10.2	5.59	26
2040	59	NA	6.08221891037645	1	15.9	3.97	NA
2041	38	798	4.64439089914137	1	15	3.395	NA
2043	84	818	5.88887795833288	0	22	NA	NA
2050	64	900	5.57972982598622	0	11.4	NA	NA
2051	85	880	5.37989735354046	0	27.2	NA	NA
2052	75	830	4.93447393313069	0	21.8	4.45	NA
2053	56	989	7.46221493976819	1	14.5	NA	NA
2055	64	NA	5.14749447681345	1	15.1	3.68	NA
2062	17	741	6.00881318544259	1	22	4.075	NA
2065	75	970	5.17614973257383	0	11.5	NA	NA
2067	63	NA	4.61512051684126	0	13.9	3.45	NA
2068	NA	763	5.9427993751267	1	16.3	NA	18
2072	54	902	6.81454289725996	1	17.8	4.39	NA
2073	77	1111	5.51342874616498	0	9.2	6.174	NA
2076	72	994	5.17048399503815	0	14.4	NA	24
2077	90	1292	6.81454289725996	0	3.3	6.74	30
2078	80	1070	6.60394382460047	0	14.7	NA	NA
2083	29	871	7.21376830811864	1	18.2	NA	NA
2086	80	970	5.79301360838414	0	12.8	6.2	NA
2091	56	1045	6.60123011872888	1	17.9	4.69	22
2092	64	NA	4.80402104473326	0	7.2	NA	NA
2093	61	NA	4.83628190695148	0	9.8	5.72	NA
2095	63	1194	5.65248918026865	1	11.6	NA	NA
2099	60	983	7.10249935577465	1	17.6	4.48	NA
2101	94	1171	7.07411681619736	1	6.8	NA	NA
2103	63	1085	8.1341742721379	1	18.1	5.146	NA
2105	55	1083	6.89264164117209	1	18.4	4.408	23
2106	35	739	6.23048144757848	1	17.8	3.58	NA
2107	72	920	5.46806014113513	0	10.2	NA	NA
2108	65	1067	5.36597601502185	0	11.2	5.318	NA
2109	60	1011	5.62762111369064	0	12.5	5.34	NA
2114	69	NA	5.39362754635236	0	14.7	NA	NA
2115	100	1324	6.03548143252476	0	8.4	5.3	25
2117	82	NA	4.40671924726425	0	11.7	NA	NA
2118	88	NA	6.19644412779452	0	13.8	NA	NA
2120	80	1000	6.24222326545517	0	16.8	6.2	NA
2121	94	NA	6.00881318544259	0	16.8	6.985	NA
2124	82	NA	6.46146817635372	0	17.5	5.51	NA
2126	38	NA	6.56807791141198	0	10.2	NA	NA
2128	90	NA	7.67508185771633	0	16.6	6.96	NA
2130	72	1150	8.24538446812075	0	11.9	6.81	26
2132	46	NA	5.01727983681492	0	10.2	6.25	NA
2133	84	NA	6.60665018619822	0	9.8	6.75	NA
2139	79	NA	6.12468339089421	0	10.5	4.2	NA
2140	86	890	4.8283137373023	0	11.3	NA	NA
2141	95	1200	6.49072353450251	0	11.3	NA	NA
2143	58	810	5.64544689764324	0	8.7	5.45	NA
2145	70	980	5.29831736654804	0	17.3	NA	NA
2146	62	1020	6.19847871649231	0	18	7.782	NA
2148	NA	782	5.76519110278484	0	12.3	NA	NA
2153	66	992	5.64190707093811	0	14.2	4.07	NA
2155	100	NA	7.38150189450671	0	9.9	6.41	NA
2158	NA	800	5.14166355650266	0	9.1	NA	NA
2160	58	846	4.40671924726425	0	27.8	5.3	NA
2161	53	951	6.99668148817654	1	16.1	4.164	NA
2178	94	1381	6.98286275146894	0	10.1	5.975	31
2183	51	923	6.96979066990159	1	17.1	3.991	NA
2184	57	891	6.3578422665081	1	14.7	4.03	NA
2185	NA	911	6.37331978957701	1	21.2	3.366	NA
2187	57	897	5.48063892334199	1	14.2	4.33	NA
2188	45	802	7.19593722647557	1	21	3.514	NA
2189	65	880	6.71538338633468	1	15.7	3.788	NA
2190	40	832	6.29710931993394	1	21	3.9	NA
2192	84	1120	6.26530121273771	0	9	5.7	27
2193	77	NA	6.67834211465433	0	13.5	NA	NA
2197	NA	814	5.38449506278909	0	27.7	5.624	NA
2199	46	998	7.83082299513532	0	12.9	7.425	23
2201	67	764	4.8283137373023	0	8.9	6.48	20
2206	84	881	4.96284463025991	0	10.3	NA	NA
2208	79	940	5.68697535633982	0	8.9	NA	24
2209	90	NA	6.44888939414686	0	10.3	NA	NA
2210	56	905	6.91373735065968	1	15	NA	NA
2211	76	900	6.25190388316589	0	12.8	4.3	NA
2217	97	1010	6.37161184723186	0	13	NA	NA
2218	60	854	5.87493073085203	0	13.3	NA	NA
2219	92	NA	7.09423484592476	0	10.3	5.968	NA
2221	68	NA	8.24695803256818	1	16.7	3.897	NA
2222	41	895	6.68461172766793	1	14.5	NA	NA
2224	91	1230	6.361302477573	0	10.6	5.995	NA
2226	59	837	6.0137151560428	0	15.4	NA	NA
2227	71	1080	6.0330862217988	0	13.2	5.97	24
2228	74	853	5.08140436498446	0	9.6	NA	NA
2229	99	NA	6.26530121273771	0	9	5.79	NA
2233	82	1200	6.52502965784346	0	15.2	5.37	28
2234	54	NA	5.8171111599632	0	12.9	3.75	22
2235	73	NA	6.19236248947487	0	13.7	4.826	NA
2236	68	NA	5.95324333428778	0	15.3	4.552	26
2238	46	NA	5.77455154554441	0	11.5	3.09	20
2239	65	NA	5.3890717298165	0	12.7	NA	NA
2241	81	1072	6.81673588059497	0	14.8	3.71	25
2243	70	NA	7.83952558170468	1	20.4	NA	NA
2247	84	985	4.30406509320417	0	11.6	NA	20
2252	16	NA	4.93447393313069	0	12.9	NA	NA
2259	49	896	7.71512360363211	1	20.6	NA	21
2260	57	NA	8.1300590399928	1	18.2	NA	NA
2268	57	NA	7.35308192051543	1	20.6	NA	23
2272	79	1070	5.84932477994686	0	12	4.7	24
2273	72	NA	6.43615036836943	0	12.5	4.341	NA
2275	74	1201	5.82304589548302	0	12.4	5.094	27
2279	45	NA	5.74300318780948	0	15.8	NA	22
2282	57	NA	5.44241771052179	0	14.7	4.152	NA
